club,nation,league,name,rating,position,price,card_types
Piemonte Calcio,Portugal,Serie A TIM,Cristiano Ronaldo,92,ST,1.14M,gold rare
FUT 21 ICONS,Hungary,Icons,Ferenc Puskás,92,ST,2.19M,icon gold rare
FUT 21 ICONS,Cameroon,Icons,Samuel Eto'o,92,ST,3.78M,icon gold rare
FC Bayern,Poland,Bundesliga,Robert Lewandowski,92,ST,138K,if gold rare
Piemonte Calcio,Portugal,Serie A TIM,Cristiano Ronaldo,92,ST,1.14M,ucl_rare gold rare
Liverpool,Egypt,Premier League,Mohamed Salah,92,RW,2.1M,ucl_live gold rare
Manchester City,Belgium,Premier League,Kevin De Bruyne,92,CM,399K,ucl_tott gold rare
FUT 21 ICONS,England,Icons,David Beckham,92,RM,837K,icon gold rare
Liverpool,Senegal,Premier League,Sadio Mané,92,ST,2.29M,futmas gold rare
Manchester Utd,Portugal,Premier League,Bruno Fernandes,92,CAM,1.22M,potm_epl gold rare
Real Madrid,France,LaLiga Santander,Karim Benzema,92,CF,120K,if gold rare
Paris SG,Brazil,Ligue 1 Conforama,Neymar Jr,92,LM,2.19M,if gold rare
Liverpool,Egypt,Premier League,Mohamed Salah,92,RW,1.15M,if gold rare
FC Barcelona,Spain,LaLiga Santander,Ansu Fati,92,ST,2.67M,future_stars gold rare
FUT 21 ICONS,England,Icons,Alan Shearer,91,ST,229K,icon gold rare
FUT 21 ICONS,England,Icons,Paul Scholes,91,CM,338K,icon gold rare
FUT 21 ICONS,France,Icons,Marcel Desailly,91,CB,1.67M,icon gold rare
FUT 21 ICONS,Netherlands,Icons,Clarence Seedorf,91,CAM,779K,icon gold rare
FUT 21 ICONS,France,Icons,Robert Pirès,91,LM,270K,icon gold rare
FUT 21 ICONS,Germany,Icons,Michael Ballack,91,CM,1.16M,icon gold rare
FUT 21 ICONS,England,Icons,Michael Owen,91,ST,495K,icon gold rare
FUT 21 ICONS,France,Icons,David Trezeguet,91,ST,250K,icon gold rare
FUT 21 ICONS,Czech Republic,Icons,Pavel Nedvěd,91,LM,523K,icon gold rare
FUT 21 ICONS,Ukraine,Icons,Andriy Shevchenko,91,ST,471K,icon gold rare
FUT 21 ICONS,England,Icons,Steven Gerrard,91,CM,835K,icon gold rare
FUT 21 ICONS,Argentina,Icons,Riquelme,91,CAM,390K,icon gold rare
FUT 21 ICONS,Côte d'Ivoire,Icons,Didier Drogba,91,ST,1.27M,icon gold rare
FUT 21 ICONS,Netherlands,Icons,Edwin van der Sar,91,GK,669K,icon gold rare
FUT 21 ICONS,Brazil,Icons,Kaká,91,CAM,1.55M,icon gold rare
FUT 21 ICONS,Spain,Icons,Fernando Hierro Ruiz,91,CB,399K,icon gold rare
FUT 21 ICONS,Romania,Icons,Gheorghe Hagi,91,CAM,448K,icon gold rare
FUT 21 ICONS,Netherlands,Icons,Ronald Koeman,91,CB,699K,icon gold rare
FUT 21 ICONS,Brazil,Icons,Pelé,91,CF,4.6M,icon gold rare
FUT 21 ICONS,Brazil,Icons,Sócrates,91,CAM,960K,icon gold rare
FUT 21 ICONS,Germany,Icons,Lothar Matthäus,91,CDM,1.99M,icon gold rare
FUT 21 ICONS,Denmark,Icons,Michael Laudrup,91,CAM,267K,icon gold rare
FUT 21 ICONS,Argentina,Icons,Diego Maradona,91,CAM,2.47M,icon gold rare
FUT 21 ICONS,Russia,Icons,Lev Yashin,91,GK,427K,icon gold rare
FUT 21 ICONS,Brazil,Icons,Ronaldinho,91,CAM,3.25M,icon gold rare
FUT 21 ICONS,Netherlands,Icons,Patrick Kluivert,91,ST,360K,icon gold rare
FUT 21 ICONS,France,Icons,Patrick Vieira,91,CM,4.58M,icon gold rare
FUT 21 ICONS,Brazil,Icons,Roberto Carlos,91,LB,1.43M,icon gold rare
FUT 21 ICONS,France,Icons,Laurent Blanc,91,CB,1.04M,icon gold rare
FUT 21 ICONS,Netherlands,Icons,Marco van Basten,91,ST,202K,icon gold rare
FUT 21 ICONS,Italy,Icons,Franco Baresi,91,CB,245K,icon gold rare
FUT 21 ICONS,Germany,Icons,Miroslav Klose,91,ST,349K,icon gold rare
FUT 21 ICONS,Portugal,Icons,Eusébio,91,CF,4.07M,icon gold rare
FUT 21 ICONS,Netherlands,Icons,Johan Cruyff,91,CF,4.03M,icon gold rare
FUT 21 ICONS,Italy,Icons,Roberto Baggio,91,CAM,480K,icon gold rare
FUT 21 ICONS,Wales,Icons,Ian Rush,91,ST,314K,icon gold rare
FUT 21 ICONS,France,Icons,Zinedine Zidane,91,CM,2.6M,icon gold rare
Manchester City,Belgium,Premier League,Kevin De Bruyne,91,CAM,79K,gold rare
FC Bayern,Poland,Bundesliga,Robert Lewandowski,91,ST,77K,gold rare
Paris SG,Brazil,Ligue 1 Conforama,Neymar Jr,91,LW,750K,gold rare
Atlético de Madrid,Slovenia,LaLiga Santander,Jan Oblak,91,GK,74.5K,gold rare
FUT 21 ICONS,Germany,Icons,Philipp Lahm,91,RB,964K,icon gold rare
FUT 21 ICONS,Spain,Icons,Fernando Torres,91,ST,1.64M,icon gold rare
FUT 21 ICONS,Germany,Icons,Bastian Schweinsteiger,91,CM,1.08M,icon gold rare
FUT 21 ICONS,Czech Republic,Icons,Petr Cech,91,GK,625K,icon gold rare
Atlético de Madrid,Slovenia,LaLiga Santander,Jan Oblak,91,GK,72.5K,ucl_rare gold rare
Paris SG,Brazil,Ligue 1 Conforama,Neymar Jr,91,LW,759K,ucl_rare gold rare
Manchester City,Belgium,Premier League,Kevin De Bruyne,91,CAM,82K,ucl_rare gold rare
FC Bayern,Poland,Bundesliga,Robert Lewandowski,91,ST,76K,ucl_rare gold rare
Spurs,England,Premier League,Harry Kane,91,ST,1.32M,halloween gold rare
Liverpool,Senegal,Premier League,Sadio Mané,91,LW,585K,if gold rare
Paris SG,France,Ligue 1 Conforama,Kylian Mbappé,91,ST,3.01M,bluered gold rare
Liverpool,Netherlands,Premier League,Virgil van Dijk,91,CB,1.03M,bluered gold rare
Liverpool,Egypt,Premier League,Mohamed Salah,91,RW,762K,if gold rare
Manchester Utd,Portugal,Premier League,Bruno Fernandes,91,CAM,1.14M,potm_epl gold rare
Real Madrid,France,LaLiga Santander,Karim Benzema,91,CF,102K,if gold rare
Manchester Utd,Portugal,Premier League,Bruno Fernandes,91,CAM,0,headliners gold rare
FC Bayern,Germany,Bundesliga,Joshua Kimmich,91,CDM,392K,if gold rare
Atlético de Madrid,Uruguay,LaLiga Santander,Luis Suárez,91,ST,0,f_moment gold rare
Piemonte Calcio,Argentina,Serie A TIM,Paulo Dybala,91,CF,216.15K,f_moment gold rare
Liverpool,Scotland,Premier League,Andrew Robertson,91,LB,520K,toty_nominee gold rare
Lazio,Italy,Serie A TIM,Ciro Immobile,91,ST,293K,toty_nominee gold rare
Dortmund,United States,Bundesliga,Giovanni Reyna,91,CAM,1.31M,future_stars gold rare
Rennes,France,Ligue 1 Conforama,Camavinga,91,CM,2.03M,future_stars gold rare
Dortmund,United States,Bundesliga,Giovanni Reyna,91,RM,918K,future_stars gold rare
FUT 21 ICONS,Republic of Ireland,Icons,Roy Keane,90,CM,410K,icon gold rare
FUT 21 ICONS,Nigeria,Icons,Jay-Jay Okocha,90,CAM,544K,icon gold rare
FUT 21 ICONS,Portugal,Icons,Rui Manuel César Costa,90,CAM,374K,icon gold rare
FUT 21 ICONS,Italy,Icons,Alessandro Del Piero,90,CF,772K,icon gold rare
FUT 21 ICONS,Italy,Icons,Filippo Inzaghi,90,ST,162K,icon gold rare
FUT 21 ICONS,Italy,Icons,Gianfranco Zola,90,CF,610K,icon gold rare
FUT 21 ICONS,France,Icons,Emmanuel Petit,90,CDM,1.08M,icon gold rare
FUT 21 ICONS,France,Icons,Claude Makélélé,90,CDM,1.11M,icon gold rare
FUT 21 ICONS,Netherlands,Icons,Dennis Bergkamp,90,CAM,395K,icon gold rare
FUT 21 ICONS,England,Icons,Frank Lampard,90,CM,401K,icon gold rare
FUT 21 ICONS,Finland,Icons,Jari Litmanen,90,CAM,197K,icon gold rare
FUT 21 ICONS,England,Icons,Rio Ferdinand,90,CB,1.9M,icon gold rare
FUT 21 ICONS,Argentina,Icons,Hernán Crespo,90,ST,703K,icon gold rare
FUT 21 ICONS,Ghana,Icons,Michael Essien,90,CDM,1.8M,icon gold rare
FUT 21 ICONS,Portugal,Icons,Anderson Luís de Souza,90,CM,288K,icon gold rare
FUT 21 ICONS,Mexico,Icons,Luis Hernández,90,ST,679K,icon gold rare
FUT 21 ICONS,Denmark,Icons,Peter Schmeichel,90,GK,295K,icon gold rare
FUT 21 ICONS,Netherlands,Icons,Frank Rijkaard,90,CDM,829K,icon gold rare
FUT 21 ICONS,Brazil,Icons,Ronaldo,90,ST,2.88M,icon gold rare
FUT 21 ICONS,France,Icons,Thierry Henry,90,LW,755K,icon gold rare
FUT 21 ICONS,Spain,Icons,Carles Puyol Saforcada,90,CB,379K,icon gold rare
FUT 21 ICONS,Netherlands,Icons,Ruud Gullit,90,CM,5.88M,icon gold rare
FUT 21 ICONS,Northern Ireland,Icons,George Best,90,RW,1.38M,icon gold rare
FUT 21 ICONS,Netherlands,Icons,Marc Overmars,90,LM,440K,icon gold rare
FUT 21 ICONS,Italy,Icons,Alessandro Nesta,90,CB,265K,icon gold rare
FUT 21 ICONS,Portugal,Icons,Luís Figo,90,RW,749K,icon gold rare
FUT 21 ICONS,Sweden,Icons,Henrik Larsson,90,ST,569K,icon gold rare
FUT 21 ICONS,Italy,Icons,Christian Vieri,90,ST,205K,icon gold rare
FUT 21 ICONS,Netherlands,Icons,Ruud van Nistelrooy,90,ST,174K,icon gold rare
