club,nation,league,name,rating,position,price,card_types
FC Juárez,Mexico,LIGA BBVA MX (MEX 1),Marco Fabián,73,CAM,400,silver rare
Girona FC,Colombia,LaLiga SmartBank (ESP 2),Bernardo Espinosa,73,CB,700,silver non-rare
Hellas Verona,Italy,Serie A TIM,Samuel Di Carmine,73,ST,800,silver rare
Cardiff City,England,EFL Championship (ENG 2),Sean Morrison,73,CB,700,silver rare
Talleres,Colombia,Primera División (ARG 1),Dayro Moreno,73,ST,6K,silver rare
CSKA Moscow,Russia,League of Russia (RUS 1),Viktor Vasin,73,CB,700,silver rare
PAOK,Morocco,Hellas Liga (GRE 1),Omar El Kaddouri,73,CAM,350,silver rare
Rennes,France,Ligue 1 Conforama,Clément Grenier,73,CM,800,silver rare
Rangers,Nigeria,Scottish Premiership (SPFL),Leon Balogun,73,CB,350,silver rare
Al Fayha,Chile,MBS Pro League (SAU 1),Carlos Villanueva,73,CAM,0,silver rare
FC Nantes,Algeria,Ligue 1 Conforama,Mehdi Abeid,73,CDM,750,silver non-rare
Perth Glory,Uruguay,A-League (AUS 1),Bruno Fornaroli,73,ST,350,silver rare
AFC Bournemouth,England,EFL Championship (ENG 2),Junior Stanislas,73,LM,700,silver rare
Leeds United,Scotland,Premier League,Liam Cooper,73,CB,1.1K,silver rare
1. FC Nürnberg,Germany,Bundesliga 2 (GER 2),Manuel Schäffler,73,ST,350,silver rare
Viktoria Plzeň,Czech Republic,Česká Liga (CZE 1),Jan Kovařík,73,LW,1.5K,silver rare
FC Nantes,Brazil,Ligue 1 Conforama,Fábio,73,RB,950,silver rare
Angers SCO,France,Ligue 1 Conforama,Vincent Manceau,73,RB,550,silver rare
RCD Mallorca,France,LaLiga SmartBank (ESP 2),Yannis Salibur,73,RM,0,silver rare
Cardiff City,England,EFL Championship (ENG 2),Joe Bennett,73,LB,1K,silver rare
R. Valladolid CF,Spain,LaLiga Santander,Míchel,73,CM,800,silver rare
Brentford,Denmark,EFL Championship (ENG 2),Henrik Dalsgaard,73,RB,550,silver rare
Guadalajara,Mexico,LIGA BBVA MX (MEX 1),Isaac Brizuela,73,RM,400,silver rare
Sivasspor,Turkey,Süper Lig (TUR 1),Yasin Öztekin,73,LM,900,silver non-rare
FC København,Poland,3F Superliga (DEN 1),Kamil Wilczek,73,ST,450,silver rare
Philadelphia,United States,Major League Soccer (MLS),Alejandro Bedoya,73,CM,200,silver non-rare
Sampdoria,Japan,Serie A TIM,Maya Yoshida,73,CB,850,silver rare
Guadalajara,Mexico,LIGA BBVA MX (MEX 1),José Antonio Rodríguez,73,GK,350,silver rare
Beşiktaş,Brazil,Süper Lig (TUR 1),Welinton,73,CB,700,silver rare
Stade Brestois 29,France,Ligue 1 Conforama,Paul Lasne,73,CM,1.4K,silver rare
Guangzhou R&F,Brazil,Chinese FA Super L. (CHN 1),Renatinho,73,RW,550,silver non-rare
Cruz Azul,Argentina,LIGA BBVA MX (MEX 1),Milton Caraglio,73,ST,900,silver rare
West Brom,St. Kitts and Nevis,Premier League,Romaine Sawyers,73,CM,27.75K,silver rare
Düsseldorf,Germany,Bundesliga 2 (GER 2),Matthias Zimmermann,73,RB,750,silver non-rare
Hellas Verona,Ghana,Serie A TIM,Emmanuel Badu,73,CM,800,silver rare
Benevento,Moldova,Serie A TIM,Artur Ionita,73,CM,1.7K,silver rare
Stade Brestois 29,France,Ligue 1 Conforama,Gaëtan Charbonnier,73,ST,1.4K,silver rare
Leeds United,Poland,Premier League,Mateusz Klich,73,CM,2.4K,silver rare
Cardiff City,Philippines,EFL Championship (ENG 2),Neil Etheridge,73,GK,0,silver rare
Cagliari,Italy,Serie A TIM,Fabio Pisacane,73,CB,2K,silver rare
Newcastle Utd,England,Premier League,Karl Darlow,73,GK,950,silver rare
Millwall,England,EFL Championship (ENG 2),Shaun Hutchinson,73,CB,600,silver rare
Stoke City,England,EFL Championship (ENG 2),Sam Clucas,73,CM,700,silver rare
Shandong Luneng,Brazil,Chinese FA Super L. (CHN 1),Leonardo Rodrigues Pereira,73,LM,2.7K,silver rare
Colo-Colo,Chile,CONMEBOL Libertadores,Esteban Paredes,73,ST,1.2K,libertadores_b silver rare
Antalyaspor,Turkey,Süper Lig (TUR 1),Serdar Gürler,73,LM,450,silver non-rare
Cardiff City,England,EFL Championship (ENG 2),Marlon Pack,73,CDM,500,silver non-rare
Rennes,France,Ligue 1 Conforama,Jonas Martin,73,CM,1.1K,silver rare
Al Ain FC,United Arab Emirates,United Emirates L. (UAE 1),Caio Canedo Corrêa,73,ST,700,silver rare
Kawasaki-F,Brazil,Meiji Yasuda J1 (JPN 1),Leandro Damião da Silva dos Santos,73,ST,350,silver rare
R. Valladolid CF,Spain,LaLiga Santander,Raul García,73,LB,750,silver rare
Burnley,Czech Republic,Premier League,Matej Vydra,73,CF,700,silver rare
1. FSV Mainz 05,Germany,Bundesliga,Stefan Bell,73,CB,2K,silver rare
Portland Timbers,United States,Major League Soccer (MLS),Steve Clark,73,GK,350,silver rare
Strasbourg,Ghana,Ligue 1 Conforama,Majeed Waris,73,RM,500,silver rare
CA Osasuna,Spain,LaLiga Santander,Raúl Navas,73,CB,900,silver rare
1. FC Köln,Germany,Bundesliga,Dominick Drexler,73,CAM,550,silver rare
Girona FC,Spain,LaLiga SmartBank (ESP 2),Aday Benítez,73,RM,450,silver rare
Udinese,FYR Macedonia,Serie A TIM,Ilja Nestorovski,73,ST,650,silver rare
Angers SCO,Côte d'Ivoire,Ligue 1 Conforama,Abdoulaye Bamba,73,RB,550,silver non-rare
Inter Miami CF,Argentina,Major League Soccer (MLS),Leandro González Pirez,73,CB,700,silver rare
Minnesota United,Madagascar,Major League Soccer (MLS),Romain Métanire,73,RB,250,silver non-rare
Denizlispor,Morocco,Süper Lig (TUR 1),Zakarya Bergdich,73,LB,1.1K,silver rare
Hamburger SV,Germany,Bundesliga 2 (GER 2),Sonny Kittel,73,LW,2.3K,silver rare
Colo-Colo,Argentina,CONMEBOL Libertadores,Nicolás Blandi,73,ST,1.4K,libertadores_b silver rare
Shakhtar Donetsk,Brazil,Ukrayina Liha (UKR 1),Alan Patrick,73,CAM,650,silver rare
Sporting KC,United States,Major League Soccer (MLS),Tim Melia,73,GK,600,silver rare
Jeonbuk Hyundai,Korea Republic,K League 1 (KOR 1),Yong Lee,73,RB,200,silver non-rare
Huddersfield,Germany,EFL Championship (ENG 2),Christopher Schindler,73,CB,600,silver rare
V. Guimarães,Ghana,Liga NOS (POR 1),Alhassan Wakaso,73,CDM,350,silver rare
Alanyaspor,Portugal,Süper Lig (TUR 1),Marafona,73,GK,400,silver rare
Gençlerbirliği,Romania,Süper Lig (TUR 1),Bogdan Stancu,73,ST,600,silver rare
Birmingham City,France,EFL Championship (ENG 2),Maxime Colin,73,RB,350,silver non-rare
AC Monza,Denmark,Calcio B (ITA 2),Christian Gytkjær,73,ST,350,silver rare
Al Nassr,Nigeria,MBS Pro League (SAU 1),Ahmed Musa,73,LM,1.5K,silver rare
Fiorentina,France,Serie A TIM,Valentin Eysseric,73,LW,1.2K,silver rare
Cerezo Osaka,Korea Republic,Meiji Yasuda J1 (JPN 1),Jin Hyeon Kim,73,GK,350,silver rare
FC Nantes,Belgium,Ligue 1 Conforama,Anthony Limbombe,73,LM,700,silver rare
Norwich,Germany,EFL Championship (ENG 2),Onel Hernandez,73,LM,1.3K,silver non-rare
1. FC Nürnberg,Germany,Bundesliga 2 (GER 2),Johannes Geis,73,CDM,550,silver rare
Lanús,Argentina,CONMEBOL Sudamericana,Facundo Quignon,73,CDM,1.2K,sudamericana silver rare
1. FC Heidenheim,Germany,Bundesliga 2 (GER 2),Kevin Müller,73,GK,200,silver non-rare
Wuhan Zall,France,Chinese FA Super L. (CHN 1),Eddy Gnahoré,73,CM,5K,silver rare
Benevento,Germany,Serie A TIM,Oliver Kragl,73,LM,15K,silver rare
Leeds United,Northern Ireland,Premier League,Stuart Dallas,73,LB,1.8K,silver rare
UD Almería,Albania,LaLiga SmartBank (ESP 2),Iván Balliu,73,RB,700,silver non-rare
Sp. Charleroi,Belgium,1A Pro League (BEL 1),Massimo Bruno,73,CAM,350,silver rare
Brescia,Italy,Calcio B (ITA 2),Alfredo Donnarumma,73,ST,400,silver rare
Angers SCO,Cameroon,Ligue 1 Conforama,Stéphane Bahoken,73,ST,1.3K,silver rare
FC Metz,France,Ligue 1 Conforama,Thomas Delaine,73,LB,1.5K,silver non-rare
River Plate,Argentina,CONMEBOL Libertadores,Bruno Zuculini,73,CDM,1.4K,libertadores_b silver rare
RSC Anderlecht,France,1A Pro League (BEL 1),Adrien Trebel,73,CM,550,silver rare
Feyenoord,Brazil,Eredivisie (NED 1),Eric Botteghin,73,CB,500,silver rare
Heracles Almelo,Germany,Eredivisie (NED 1),Janis Blaswich,73,GK,350,silver rare
FC Juárez,Paraguay,LIGA BBVA MX (MEX 1),Darío Lezcano,73,ST,850,silver rare
Elche CF,Spain,LaLiga Santander,Edgar Badía,73,GK,500,silver rare
SD Huesca,Spain,LaLiga Santander,Juan Carlos,73,CM,1.3K,silver rare
Preston,Germany,EFL Championship (ENG 2),Patrick Bauer,73,CB,350,silver rare
R. Valladolid CF,Spain,LaLiga Santander,Hervías,73,RM,550,silver rare
Hamburger SV,Germany,Bundesliga 2 (GER 2),Toni Leistner,73,CB,500,silver rare
Al Taawoun,Brazil,MBS Pro League (SAU 1),Nildo Petrolina,73,LM,0,silver rare
Birmingham City,Spain,EFL Championship (ENG 2),Iván Sánchez Aguayo,73,RM,350,silver rare
Olympiacos CFP,Algeria,Hellas Liga (GRE 1),Hillal Soudani,73,CAM,350,silver rare
Mazatlán FC,Uruguay,LIGA BBVA MX (MEX 1),Sebastián Sosa,73,GK,4.9K,silver rare
Club Brugge,Czech Republic,1A Pro League (BEL 1),Michael Krmencík,73,ST,600,silver rare
Cagliari,Italy,Serie A TIM,Luca Ceppitelli,73,CB,1K,silver rare
Bologna,Netherlands,Serie A TIM,Stefano Denswil,73,CB,2.7K,silver rare
Werder Bremen,Greece,Bundesliga,Stefanos Kapino,73,GK,950,silver rare
Sampdoria,Italy,Serie A TIM,Nicola Murru,73,LB,0,silver non-rare
Fulham,England,Premier League,Harrison Reed,73,CDM,950,silver non-rare
Göztepe,Gabon,Süper Lig (TUR 1),André Poko,73,CDM,2.9K,silver non-rare
Leeds United,FYR Macedonia,Premier League,Ezgjan Alioski,73,LB,1.8K,silver rare
Lazio,Spain,Serie A TIM,Patric,73,CB,4K,silver rare
Napoli,Italy,Serie A TIM,Amato Ciciretti,73,RW,12.25K,silver rare
FC Lorient,France,Ligue 1 Conforama,Paul Nardi,73,GK,500,silver rare
Servette FC,Bosnia and Herzegovina,Raiffeisen Super L. (SUI 1),Miroslav Stevanović,73,RM,250,silver non-rare
Montpellier,France,Ligue 1 Conforama,Jordan Ferri,73,CM,1K,silver non-rare
Stade de Reims,France,Ligue 1 Conforama,Tristan Dingomé,73,CAM,9.9K,silver rare
KAA Gent,Ukraine,1A Pro League (BEL 1),Roman Bezus,73,CAM,500,silver rare
Frankfurt,Guinea,Bundesliga,Simon Falette,73,CB,3.9K,silver rare
Atlanta United,Mexico,Major League Soccer (MLS),Jürgen Damm,73,RM,500,silver rare
CD Leganés,Nigeria,LaLiga SmartBank (ESP 2),Kenneth Omeruo,73,CB,350,silver rare
Tijuana,Ecuador,LIGA BBVA MX (MEX 1),Miler Bolaños,73,RM,9.8K,silver non-rare
Wuhan Zall,Brazil,Chinese FA Super L. (CHN 1),Rafael da Silva,73,ST,450,silver rare
Bielefeld,Netherlands,Bundesliga,Mike van der Hoorn,73,CB,1.7K,silver rare
Frankfurt,Germany,Bundesliga,Erik Durm,73,LB,700,silver non-rare
Celtic,Australia,Scottish Premiership (SPFL),Tom Rogic,73,CAM,500,silver rare
West Brom,Nigeria,Premier League,Semi Ajayi,73,CB,0,silver rare
VfL Wolfsburg,Brazil,Bundesliga,Paulo Otávio,73,LB,850,silver rare
PAOK,Greece,Hellas Liga (GRE 1),Dimitrios Pelkas,73,CAM,8.2K,silver rare
CA Osasuna,Spain,LaLiga Santander,Lucas Torró,73,CDM,850,silver rare
Panathinaikos,Greece,Hellas Liga (GRE 1),Dimitrios Kourmpelis,73,CDM,500,silver rare
Dalian Pro,Sweden,Chinese FA Super L. (CHN 1),Marcus Danielson,73,CB,400,silver rare
CSKA Moscow,Iceland,League of Russia (RUS 1),Hörður Magnússon,73,CB,450,silver rare
VfL Bochum,Germany,Bundesliga 2 (GER 2),Danny Blum,73,LM,250,silver non-rare
Yokohama F･M,Brazil,Meiji Yasuda J1 (JPN 1),Marcos Júnio Lima dos Santos,73,CAM,350,silver rare
Norwich,England,EFL Championship (ENG 2),Sam Byram,73,LB,700,silver non-rare
Sparta Praha,Sweden,Česká Liga (CZE 1),David Moberg Karlsson,73,RM,350,silver rare
Bordeaux,France,Ligue 1 Conforama,Maxime Poundjé,73,LB,600,silver non-rare
Sp. Charleroi,Belgium,1A Pro League (BEL 1),Dorian Dessoleil,73,CB,500,silver rare
Club Brugge,Belgium,1A Pro League (BEL 1),Siebe Schrijvers,73,ST,3K,silver rare
Dalian Pro,Sweden,Chinese FA Super L. (CHN 1),Sam Larsson,73,LW,900,silver rare
V. Guimarães,Nigeria,Liga NOS (POR 1),Mikel Agu,73,CDM,350,silver rare
SK Rapid Wien,Austria,Ö Bundesliga (AUT 1),Richard Strebinger,73,GK,350,silver rare
Rio Ave FC,Brazil,Liga NOS (POR 1),Diego Lopes,73,CAM,600,silver rare
Bologna,Senegal,Serie A TIM,Ibrahima Mbaye,73,RB,850,silver rare
Empoli,Italy,Calcio B (ITA 2),Alberto Brignoli,73,GK,400,silver rare
Leicester City,Algeria,Premier League,Rachid Ghezzal,73,RW,4K,silver rare
Dynamo Kyiv,Spain,Ukrayina Liha (UKR 1),Fran Sol,73,ST,15K,silver rare
1. FC Köln,Austria,Bundesliga,Louis Schaub,73,CAM,0,silver rare
FC Basel 1893,Switzerland,Raiffeisen Super L. (SUI 1),Luca Zuffi,73,CAM,350,silver rare
Brentford,Denmark,EFL Championship (ENG 2),Christian Nørgaard,73,CDM,500,silver rare
Dijon FCO,Cape Verde Islands,Ligue 1 Conforama,Júlio Tavares,73,ST,0,silver rare
Parma,France,Serie A TIM,Vincent Laurini,73,RB,1.2K,silver non-rare
Crotone,Argentina,Serie A TIM,Lisandro Magallán,73,CB,900,silver rare
Unión,Argentina,CONMEBOL Sudamericana,Claudio Corvalán,73,LB,1.9K,sudamericana silver rare
Lazio,Italy,Serie A TIM,Danilo Cataldi,73,CM,5.5K,silver rare
Standard Liège,France,1A Pro League (BEL 1),Nicolas Gavory,73,LB,1.4K,silver rare
TSG Hoffenheim,Germany,Bundesliga,Kevin Akpoguma,73,CB,850,silver rare
Bielefeld,Germany,Bundesliga,Andreas Voglsammer,73,LW,1.8K,silver rare
Birmingham City,France,EFL Championship (ENG 2),Jérémie Bela,73,RM,3.1K,silver rare
Antalyaspor,FYR Macedonia,Süper Lig (TUR 1),Adis Jahovic,73,ST,900,silver rare
Univ. Craiova,Romania,Liga I (ROM 1),Dan Nistor,73,CM,350,silver rare
Düsseldorf,Turkey,Bundesliga 2 (GER 2),Kenan Karaman,73,ST,350,silver rare
Bordeaux,Korea Republic,Ligue 1 Conforama,Ui Jo Hwang,73,ST,700,silver rare
Rayados,Colombia,LIGA BBVA MX (MEX 1),Avilés Hurtado,73,ST,350,silver rare
Nashville SC,United States,Major League Soccer (MLS),Walker Zimmerman,73,CB,450,silver rare
Werder Bremen,Germany,Bundesliga,Davie Selke,73,ST,650,silver rare
Leicester City,Ghana,Premier League,Daniel Amartey,73,RB,2.4K,silver rare
Levante UD,Spain,LaLiga Santander,Rober Pier,73,CB,700,silver rare
Whitecaps FC,Canada,Major League Soccer (MLS),Lucas Cavallini,73,ST,400,silver rare
1. FSV Mainz 05,Germany,Bundesliga,Levin Öztunali,73,RM,700,silver non-rare
Hellas Verona,France,Serie A TIM,Adrien Tamèze,73,CM,650,silver rare
Argentinos Jrs.,Argentina,CONMEBOL Sudamericana,Lucas Cháves,73,GK,450,sudamericana silver rare
Udinese,Nigeria,Serie A TIM,William Troost-Ekong,73,CB,6.8K,silver rare
PAOK,England,Hellas Liga (GRE 1),Chuba Akpom,73,ST,0,silver rare
Nott'm Forest,Comoros,EFL Championship (ENG 2),Fouad Bachirou,73,CDM,400,silver rare
Atlas,Argentina,LIGA BBVA MX (MEX 1),Martín Nervo,73,CB,450,silver rare
Portland Timbers,Chile,Major League Soccer (MLS),Felipe Mora,73,ST,350,silver rare
EA Guingamp,South Africa,Ligue 2 (FRA 2),Lebogang Phiri,73,CDM,350,silver rare
Watford,Sweden,EFL Championship (ENG 2),Ken Sema,73,LM,900,silver non-rare
FC Nantes,Cameroon,Ligue 1 Conforama,Jean-Charles Castelletto,73,CB,750,silver rare
Atl. Nacional,Colombia,CONMEBOL Sudamericana,Yerson Candelo,73,RM,650,sudamericana silver rare
América de Cali,Colombia,CONMEBOL Libertadores,Juan Pérez,73,LM,950,libertadores_b silver rare
León,Colombia,LIGA BBVA MX (MEX 1),William Tesillo,73,CB,500,silver rare
Al Shabab,Colombia,MBS Pro League (SAU 1),Danilo Moreno Asprilla,73,RM,0,silver rare
Cruz Azul,Chile,LIGA BBVA MX (MEX 1),Igor Lichnovsky,73,CB,5K,silver rare
River Plate,Chile,CONMEBOL Libertadores,Paulo Díaz,73,CB,1.8K,libertadores_b silver rare
Banfield,Colombia,Primera División (ARG 1),Iván Arboleda,73,GK,400,silver rare
Colón,Colombia,Primera División (ARG 1),Wilson Morelo,73,ST,400,silver rare
Sassuolo,Germany,Serie A TIM,Jeremy Toljan,73,RB,850,silver rare
Banfield,Colombia,Primera División (ARG 1),Reinaldo Lenis,73,RM,1.4K,silver non-rare
Gimnasia,Argentina,Primera División (ARG 1),Paolo Goltz,73,CB,550,silver rare
Racing Club,Argentina,CONMEBOL Libertadores,Diego González,73,CM,9.8K,libertadores_b silver rare
Uni. Católica,Chile,CONMEBOL Libertadores,Parot,73,LB,900,libertadores_b silver rare
Boca Juniors,Argentina,CONMEBOL Libertadores,Emmanuel Mas,73,LB,1.5K,libertadores_b silver rare
Rosario Central ,Argentina,Primera División (ARG 1),Emanuel Brítez,73,LB,4K,silver rare
Colón,Argentina,Primera División (ARG 1),Bruno Bianchi,73,CB,500,silver rare
Uni. Católica,Argentina,CONMEBOL Libertadores,Gastón Lezcano,73,RM,700,libertadores_b silver rare
Newell's,Argentina,Primera División (ARG 1),Pablo Pérez,73,CM,1.5K,silver rare
River Plate,Argentina,CONMEBOL Libertadores,Fabrizio Angileri,73,LB,1.9K,libertadores_b silver rare
San Lorenzo,Argentina,Primera División (ARG 1),Gino Peruzzi,73,RB,800,silver non-rare
Boca Juniors,Argentina,CONMEBOL Libertadores,Leonardo Jara,73,RB,1.2K,libertadores_b silver rare
River Plate,Argentina,CONMEBOL Libertadores,Carlos Auzqui,73,RW,8.7K,libertadores_b silver rare
Southampton,Argentina,Premier League,Guido Carrillo,73,ST,9.5K,silver rare
D. Alavés,Spain,LaLiga Santander,Burgui,73,LM,600,silver non-rare
AS Monaco,Brazil,Ligue 1 Conforama,Jemerson,73,CB,2.5K,silver rare
Al Ittihad,Argentina,MBS Pro League (SAU 1),Leonardo Gil,73,CM,8.8K,silver rare
Benevento,Italy,Serie A TIM,Gaetano Letizia,73,LB,1.9K,silver rare
1. FC Heidenheim,Germany,Bundesliga 2 (GER 2),Patrick Mainka,73,CB,800,silver rare
VfL Wolfsburg,Congo DR,Bundesliga,Marcel Tisserand,73,CB,0,silver rare
Preston,Republic of Ireland,EFL Championship (ENG 2),Alan Browne,73,CDM,800,silver rare
San Lorenzo,Argentina,Primera División (ARG 1),Sebastián Torrico,73,GK,350,silver rare
V. Guimarães,Venezuela,Liga NOS (POR 1),Víctor García,73,RB,0,silver non-rare
Genoa,Denmark,Serie A TIM,Lukas Lerager,73,CM,1.6K,silver non-rare
D.C. United,United States,Major League Soccer (MLS),Paul Arriola,73,RM,450,silver non-rare
Everton,Spain,Premier League,Sandro,73,ST,27K,silver rare
Celtic,France,Scottish Premiership (SPFL),Olivier Ntcham,73,CM,1.6K,silver rare
SD Eibar,Portugal,LaLiga Santander,Rafa Soares,73,LB,1.4K,silver rare
RCD Mallorca,Slovakia,LaLiga SmartBank (ESP 2),Martin Valjent,73,CB,500,silver rare
D. Alavés,Spain,LaLiga Santander,Edgar Méndez,73,RM,600,silver rare
Cercle Brugge,France,1A Pro League (BEL 1),Thomas Didillon,73,GK,400,silver rare
América,Colombia,LIGA BBVA MX (MEX 1),Roger Martínez,73,ST,400,silver rare
Inter Miami CF,Argentina,Major League Soccer (MLS),Figal,73,CB,800,silver rare
Indep. Medellín,Colombia,CONMEBOL Libertadores,Didier Delgado,73,RM,1.3K,libertadores_b silver rare
Parma,Italy,Serie A TIM,Alberto Grassi,73,CM,950,silver rare
RC Celta,Peru,LaLiga Santander,Renato Tapia,73,CDM,700,silver rare
AFC Bournemouth,England,EFL Championship (ENG 2),Jack Stacey,73,RB,500,silver non-rare
Werder Bremen,Serbia,Bundesliga,Miloš Veljkovic,73,CB,700,silver rare
Al Hilal,Saudi Arabia,MBS Pro League (SAU 1),Mohammed Al Buraik,73,RB,1.5K,silver rare
PAOK,Iceland,Hellas Liga (GRE 1),Sverrir Ingi Ingason,73,CB,500,silver rare
Aalborg BK,Sweden,3F Superliga (DEN 1),Jacob Rinne,73,GK,200,silver non-rare
Leeds United,Portugal,Premier League,Hélder Costa,73,RM,1.4K,silver rare
Blackburn Rovers,England,EFL Championship (ENG 2),Adam Armstrong,73,ST,350,silver rare
LASK,Austria,Ö Bundesliga (AUT 1),Peter Michorl,73,CM,350,silver rare
Manchester City,England,Premier League,Patrick Roberts,73,RW,10K,silver rare
OGC Nice,Senegal,Ligue 1 Conforama,Racine Coly,73,LB,1K,silver rare
Amiens SC,France,Ligue 2 (FRA 2),Alexis Blin,73,CDM,400,silver rare
Galatasaray,Turkey,Süper Lig (TUR 1),Sener Özbayrakli,73,RB,500,silver rare
Nîmes Olympique,France,Ligue 1 Conforama,Pablo Martinez,73,CB,700,silver rare
R. Valladolid CF,Spain,LaLiga Santander,Fede,73,CDM,700,silver non-rare
Girona FC,Spain,LaLiga SmartBank (ESP 2),Granell,73,CDM,9K,silver rare
Beşiktaş,Turkey,Süper Lig (TUR 1),Dorukhan Toköz,73,CDM,550,silver rare
Celtic,Norway,Scottish Premiership (SPFL),Kristoffer Ajer,73,CB,2.1K,silver rare
Strasbourg,France,Ligue 1 Conforama,Bingourou Kamara,73,GK,550,silver rare
Stade Brestois 29,Algeria,Ligue 1 Conforama,Haris Belkebla,73,CDM,1.2K,silver non-rare
San Lorenzo,Argentina,Primera División (ARG 1),Víctor Salazar,73,RB,350,silver rare
Racing Club,Argentina,CONMEBOL Libertadores,Walter Montoya,73,RM,1.5K,libertadores_b silver rare
Brentford,England,EFL Championship (ENG 2),Rico Henry,73,LB,900,silver rare
Shanghai SIPG,China PR,Chinese FA Super L. (CHN 1),Junling Yan,73,GK,800,silver non-rare
Torino,Nigeria,Serie A TIM,Ola Aina,73,LM,0,silver rare
D. Alavés,Spain,LaLiga Santander,Adrián Marín,73,LB,700,silver rare
Fiorentina,Italy,Serie A TIM,Gaetano Castrovilli,73,CM,1K,silver rare
Millonarios,Colombia,CONMEBOL Sudamericana,Jhon Duque,73,CDM,2.5K,sudamericana silver rare
Fenerbahçe,Germany,Süper Lig (TUR 1),Sinan Gümüs,73,RM,700,silver non-rare
América,Colombia,LIGA BBVA MX (MEX 1),Andrés Ibargüen,73,LM,500,silver rare
Sporting CP,Angola,Liga NOS (POR 1),Bruno Gaspar,73,RB,550,silver rare
América,Argentina,LIGA BBVA MX (MEX 1),Leonardo Suárez,73,RM,350,silver rare
Huddersfield,England,EFL Championship (ENG 2),Karlan Grant,73,LM,6.5K,silver rare
RB Leipzig,France,Bundesliga,Jean-Kévin Augustin,73,ST,14K,silver rare
Rangers,Romania,Scottish Premiership (SPFL),Ianis Hagi,73,CAM,350,silver rare
Rosario Central ,Argentina,Primera División (ARG 1),Lucas Gamba,73,ST,450,silver rare
Puebla,Mexico,LIGA BBVA MX (MEX 1),Daniel Álvarez,73,LM,350,silver rare
Al Shabab,Argentina,MBS Pro League (SAU 1),Cristian Guanca,73,CAM,450,silver rare
Cerezo Osaka,Croatia,Meiji Yasuda J1 (JPN 1),Matej Jonjic,73,CB,500,silver rare
Torino,Kosovo,Serie A TIM,Mërgim Vojvoda,73,RB,2.7K,silver non-rare
Talleres,Argentina,Primera División (ARG 1),Leonardo Godoy,73,RB,2K,silver rare
Shakhtar Donetsk,Ukraine,Ukrayina Liha (UKR 1),Viktor Kovalenko,73,CAM,800,silver rare
CD Tondela,Venezuela,Liga NOS (POR 1),Jhon Murillo,73,RW,350,silver rare
Manchester City,Spain,Premier League,Aleix García,73,CAM,14K,silver rare
Standard Liège,Morocco,1A Pro League (BEL 1),Selim Amallah,73,CAM,450,silver rare
Orlando Pirates,South Africa,South African FL (RSA 1),Thembinkosi Lorch,73,RW,250,silver non-rare
Inter,Brazil,Serie A TIM,Dalbert,73,LM,1.9K,silver rare
Udinese,Netherlands,Serie A TIM,Thomas Ouwejan,73,LB,1.7K,silver rare
Fulham,United States,Premier League,Antonee Robinson,73,LB,1.1K,silver rare
León,Chile,LIGA BBVA MX (MEX 1),Jean Meneses,73,LM,350,silver non-rare
Shakhtar Donetsk,Ukraine,Ukrayina Liha (UKR 1),Mykola Matvienko,73,CB,650,silver rare
KRC Genk,Belgium,1A Pro League (BEL 1),Bryan Heynen,73,CM,950,silver non-rare
Independiente,Argentina,CONMEBOL Sudamericana,Alexander Barboza,73,CB,900,sudamericana silver rare
Milan,Bosnia and Herzegovina,Serie A TIM,Rade Krunic,73,CM,1.3K,silver rare
AS Monaco,Morocco,Ligue 1 Conforama,Youssef Ait Bennasser,73,CM,850,silver rare
TSG Hoffenheim,Serbia,Bundesliga,Gacinovic,73,CAM,500,silver rare
Nott'm Forest,Cape Verde Islands,EFL Championship (ENG 2),Nuno da Costa,73,ST,3.4K,silver rare
América de Cali,Colombia,CONMEBOL Libertadores,Duván Vergara,73,LW,800,libertadores_b silver rare
PAOK,Croatia,Hellas Liga (GRE 1),Josip Mišić,73,CM,6.5K,silver rare
Dynamo Kyiv,Uruguay,Ukrayina Liha (UKR 1),Carlos de Pena,73,LM,200,silver non-rare
Sivasspor,Chad,Süper Lig (TUR 1),Casimir Ninga,73,LM,550,silver rare
Konyaspor,Slovenia,Süper Lig (TUR 1),Nejc Skubic,73,RB,650,silver rare
BSC Young Boys,Switzerland,Raiffeisen Super L. (SUI 1),Silvan Hefti,73,RB,400,silver rare
Henan Jianye,Cameroon,Chinese FA Super L. (CHN 1),Christian Bassogog,73,ST,750,silver rare
Philadelphia,Cape Verde Islands,Major League Soccer (MLS),Jamiro Monteiro,73,CM,450,silver rare
KRC Genk,Colombia,1A Pro League (BEL 1),Jhon Lucumi,73,CB,500,silver rare
Stade Brestois 29,France,Ligue 1 Conforama,Romain Perraud,73,LB,1.4K,silver rare
West Brom,England,Premier League,Grady Diangana,73,LM,2.3K,silver non-rare
Manchester Utd,England,Premier League,Axel Tuanzebe,73,CB,1.9K,silver rare
Leicester City,England,Premier League,James Justin,73,RB,1.7K,silver non-rare
Watford,Spain,EFL Championship (ENG 2),Marc Navarro,73,RB,500,silver rare
Rennes,France,Ligue 1 Conforama,Romain Del Castillo,73,ST,700,silver rare
Amiens SC,Iran,Ligue 2 (FRA 2),Ghoddos,73,LM,0,silver rare
Valencia CF,Spain,LaLiga Santander,Toni Lato,73,LB,1.1K,silver rare
